provider,region,sku,location_name,latitude,longitude,price_usd_hour,resource_kind,accelerator_vendor,accelerator_family,accelerator_model,accelerator_count,accelerator_memory_mib,cpu_arch,notes
aws,eu-west-3,c5.12xlarge,"Paris, France",48.8566,2.3522,2.424,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5.18xlarge,"Paris, France",48.8566,2.3522,3.636,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5.24xlarge,"Paris, France",48.8566,2.3522,4.848,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5.2xlarge,"Paris, France",48.8566,2.3522,0.404,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5.4xlarge,"Paris, France",48.8566,2.3522,0.808,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5.9xlarge,"Paris, France",48.8566,2.3522,1.818,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5.large,"Paris, France",48.8566,2.3522,0.101,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5.xlarge,"Paris, France",48.8566,2.3522,0.202,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5a.12xlarge,"Paris, France",48.8566,2.3522,2.184,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5a.16xlarge,"Paris, France",48.8566,2.3522,2.912,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5a.24xlarge,"Paris, France",48.8566,2.3522,4.368,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5a.2xlarge,"Paris, France",48.8566,2.3522,0.364,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5a.4xlarge,"Paris, France",48.8566,2.3522,0.728,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5a.8xlarge,"Paris, France",48.8566,2.3522,1.456,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5a.large,"Paris, France",48.8566,2.3522,0.091,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5a.xlarge,"Paris, France",48.8566,2.3522,0.182,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5d.18xlarge,"Paris, France",48.8566,2.3522,4.14,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5d.2xlarge,"Paris, France",48.8566,2.3522,0.46,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5d.4xlarge,"Paris, France",48.8566,2.3522,0.92,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5d.9xlarge,"Paris, France",48.8566,2.3522,2.07,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5d.large,"Paris, France",48.8566,2.3522,0.115,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5d.xlarge,"Paris, France",48.8566,2.3522,0.23,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5n.18xlarge,"Paris, France",48.8566,2.3522,4.608,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5n.2xlarge,"Paris, France",48.8566,2.3522,0.512,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5n.4xlarge,"Paris, France",48.8566,2.3522,1.024,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5n.9xlarge,"Paris, France",48.8566,2.3522,2.304,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5n.large,"Paris, France",48.8566,2.3522,0.128,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c5n.xlarge,"Paris, France",48.8566,2.3522,0.256,cpu,none,none,none,0,,x86_64,
aws,eu-west-3,c6g.12xlarge,"Paris, France",48.8566,2.3522,1.944,cpu,none,none,none,0,,arm64,
aws,eu-west-3,c6g.16xlarge,"Paris, France",48.8566,2.3522,2.592,cpu,none,none,none,0,,arm64,
aws,eu-west-3,c6g.2xlarge,"Paris, France",48.8566,2.3522,0.324,cpu,none,none,none,0,,arm64,
